content_id,title,category,subcategory,tags,format,mood,depth_level,duration_minutes,cost_band,time_of_day_fit,location_scope,is_local_content,freshness_band,publish_date,popularity_score,recency_score,content_quality_score,text_features
C0011,A Simple Gym Plan for Absolute Beginners for Beginners,Fitness,Gym Guides,fitness|workout|beginner|walking,Guide,Motivated,Moderate,33,Medium,Late Night,Remote,0,Recent,2025-12-06,84,53,66,A Simple Gym Plan for Absolute Beginners for Beginners Fitness Gym Guides fitness workout beginner walking Guide Motivated Moderate
C0012,A Practical Guide to Last-Minute Exam Preparation for Group Sessions,Study,Revision,students|flashcards|revision|deep work,Guide,Focused,Moderate,30,Free,Evening,Hatfield,1,Evergreen,2026-01-17,67,74,70,A Practical Guide to Last-Minute Exam Preparation for Group Sessions Study Revision students flashcards revision deep work Guide Focused Moderate
C0013,Digital Habits That Reduce Daily Friction for Cleaner Daily Systems,Lifestyle,Room Setup,student life|daily life|room setup|fashion,Short Video,Relaxed,Moderate,3,Free,Morning,Online,0,Recent,2025-09-06,86,8,61,Digital Habits That Reduce Daily Friction for Cleaner Daily Systems Lifestyle Room Setup student life daily life room setup fashion Short Video Relaxed Moderate
C0014,A Simple Weekly Reset Routine for Students When Motivation Drops,Productivity,Apps,planning|workflow|habits|focus,Article,Focused,Light,10,Low,Late Night,London,1,Recent,2026-02-23,54,93,82,A Simple Weekly Reset Routine for Students When Motivation Drops Productivity Apps planning workflow habits focus Article Focused Light
C0015,Walking Habits That Boost Energy Without a Full Workout for Beginners,Fitness,Home Workouts,walking|workout|fitness|student fitness,Short Video,Motivated,Deep,6,High,Afternoon,Hatfield,1,New,2026-02-02,93,82,77,Walking Habits That Boost Energy Without a Full Workout for Beginners Fitness Home Workouts walking workout fitness student fitness Short Video Motivated Deep
C0016,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Side Hustles,interview|internships|cv|linkedin,Article,Focused,Light,8,High,Morning,Remote,0,Recent,2025-11-07,55,39,98,A Realistic LinkedIn Routine for Students for Student Professionals Career Side Hustles interview internships cv linkedin Article Focused Light
C0017,Easy Listening Picks for a Weekend Reset for Weekend Vibes,Music,Party Playlists,mood|indie|playlist|lofi,Carousel,Relaxed,Moderate,2,Medium,Afternoon,Online,0,New,2025-11-22,38,46,53,Easy Listening Picks for a Weekend Reset for Weekend Vibes Music Party Playlists mood indie playlist lofi Carousel Relaxed Moderate
C0018,Internship Search Habits That Compound Over Time for Student Professionals,Career,Networking,interview|jobs|linkedin|internships,Long Video,Focused,Deep,33,High,Late Night,Online,0,New,2026-01-19,72,75,72,Internship Search Habits That Compound Over Time for Student Professionals Career Networking interview jobs linkedin internships Long Video Focused Deep
C0019,Local Events That Feel Social Without Being Too Much You’ll Actually Want to Attend,Events,Workshops,weekend|things to do|campus|social,Carousel,Social,Light,4,Free,Evening,Remote,0,Evergreen,2025-09-05,46,7,85,Local Events That Feel Social Without Being Too Much You’ll Actually Want to Attend Events Workshops weekend things to do campus social Carousel Social Light
C0020,How to Recover After an Overloaded Week for Better Balance,Wellness,Mindfulness,wellness|routine|stress|mental health,Podcast,Relaxed,Deep,27,Free,Afternoon,Hatfield,1,Evergreen,2025-09-15,69,12,71,How to Recover After an Overloaded Week for Better Balance Wellness Mindfulness wellness routine stress mental health Podcast Relaxed Deep
C0021,A Simple Weekly Reset Routine for Students for Better Consistency,Productivity,Planning,habits|time blocking|planning|discipline,Checklist,Focused,Moderate,5,Free,Morning,Online,0,Recent,2025-10-07,41,23,87,A Simple Weekly Reset Routine for Students for Better Consistency Productivity Planning habits time blocking planning discipline Checklist Focused Moderate
C0022,Ways to Cut Everyday Costs Without Feeling Restricted for Everyday Spending,Finance,Budgeting,finance|deals|savings|discounts,Podcast,Calm,Moderate,32,Medium,Morning,Online,0,Evergreen,2026-02-13,76,88,76,Ways to Cut Everyday Costs Without Feeling Restricted for Everyday Spending Finance Budgeting finance deals savings discounts Podcast Calm Moderate
C0023,Budgeting on a Student Schedule That Scale Well,Finance,Savings,budget|cheap|discounts|savings,Checklist,Focused,Deep,10,Low,Weekend,Hatfield,1,Evergreen,2026-01-25,98,78,66,Budgeting on a Student Schedule That Scale Well Finance Savings budget cheap discounts savings Checklist Focused Deep
C0024,Ways to Cut Everyday Costs Without Feeling Restricted This Semester,Finance,Savings,deals|savings|student money|budget,Checklist,Curious,Light,10,Free,Weekend,Remote,0,Evergreen,2026-01-22,37,77,70,Ways to Cut Everyday Costs Without Feeling Restricted This Semester Finance Savings deals savings student money budget Checklist Curious Light
C0025,Digital Habits That Reduce Daily Friction for Cleaner Daily Systems,Lifestyle,Fashion,room setup|routine|daily life|fashion,Short Video,Curious,Light,4,Low,Morning,Hatfield,1,Recent,2025-11-25,64,48,80,Digital Habits That Reduce Daily Friction for Cleaner Daily Systems Lifestyle Fashion room setup routine daily life fashion Short Video Curious Light
C0026,A Realistic LinkedIn Routine for Students for Graduate Roles,Career,CVs,internships|career|networking|cv,Checklist,Motivated,Deep,12,Free,Weekend,Online,0,New,2026-01-24,60,78,81,A Realistic LinkedIn Routine for Students for Graduate Roles Career CVs internships career networking cv Checklist Motivated Deep
C0027,A Practical Guide to Last-Minute Exam Preparation on a Tight Timetable,Study,Time Management,revision|students|notes|flashcards,Checklist,Focused,Light,10,Low,Morning,Online,0,Recent,2025-10-04,42,22,93,A Practical Guide to Last-Minute Exam Preparation on a Tight Timetable Study Time Management revision students notes flashcards Checklist Focused Light
C0028,Quick Comfort Meals for Cold Evenings Near Campus,Food,Takeaway Picks,food|cafes|budget meals|quick meals,Carousel,Curious,Moderate,5,Free,Afternoon,Online,0,New,2026-03-03,63,97,90,Quick Comfort Meals for Cold Evenings Near Campus Food Takeaway Picks food cafes budget meals quick meals Carousel Curious Moderate
C0029,Digital Habits That Reduce Daily Friction Without Overdoing It,Lifestyle,Daily Routines,daily life|habits|student life|routine,Carousel,Curious,Deep,6,Free,Late Night,Remote,0,Evergreen,2026-02-22,71,92,83,Digital Habits That Reduce Daily Friction Without Overdoing It Lifestyle Daily Routines daily life habits student life routine Carousel Curious Deep
C0030,How to Follow Up After an Interview Without Sounding Generic Without Sounding Robotic,Career,Side Hustles,internships|career|cv|linkedin,Guide,Motivated,Moderate,27,High,Evening,Online,0,Evergreen,2025-12-26,75,63,82,How to Follow Up After an Interview Without Sounding Generic Without Sounding Robotic Career Side Hustles internships career cv linkedin Guide Motivated Moderate
C0031,CV Tweaks That Make Student Applications Stronger for Graduate Roles,Career,Interviews,cv|career|interview|internships,Podcast,Motivated,Light,32,Low,Afternoon,Online,0,Evergreen,2025-12-23,76,62,92,CV Tweaks That Make Student Applications Stronger for Graduate Roles Career Interviews cv career interview internships Podcast Motivated Light
C0032,Apps That Make Student Life Less Chaotic for Better Focus,Tech,Digital Skills,ai tools|apps|tech|student tools,Short Video,Focused,Deep,8,High,Late Night,Online,0,Recent,2026-02-22,68,92,85,Apps That Make Student Life Less Chaotic for Better Focus Tech Digital Skills ai tools apps tech student tools Short Video Focused Deep
C0033,Things to Do This Week Beyond the Usual Routine This Month,Events,Markets,workshops|events|weekend|things to do,Article,Social,Light,6,Free,Afternoon,St Albans,1,Evergreen,2025-09-19,63,14,93,Things to Do This Week Beyond the Usual Routine This Month Events Markets workshops events weekend things to do Article Social Light
C0034,Quick Comfort Meals for Cold Evenings for Rainy Evenings,Food,Quick Recipes,cheap eats|food|meal prep|student food,Carousel,Energetic,Moderate,2,High,Afternoon,Remote,0,New,2025-12-20,52,60,97,Quick Comfort Meals for Cold Evenings for Rainy Evenings Food Quick Recipes cheap eats food meal prep student food Carousel Energetic Moderate
C0035,How to Plan a Cheap One-Day Reset Trip from Hatfield,Travel,Weekend Trips,cheap trips|explore|city guide|hidden gems,Short Video,Relaxed,Moderate,5,High,Evening,Hatfield,1,Recent,2025-10-25,64,32,62,How to Plan a Cheap One-Day Reset Trip from Hatfield Travel Weekend Trips cheap trips explore city guide hidden gems Short Video Relaxed Moderate
C0036,Sleep Routines That Feel Realistic for Students During Deadline Season,Wellness,Balance,routine|sleep|wellness|stress,Short Video,Relaxed,Deep,4,Medium,Afternoon,Online,0,Evergreen,2026-02-10,67,86,70,Sleep Routines That Feel Realistic for Students During Deadline Season Wellness Balance routine sleep wellness stress Short Video Relaxed Deep
C0037,Flashcard Systems Students Actually Keep Using for Group Sessions,Study,Revision,notes|exam prep|revision|students,Podcast,Calm,Light,31,Free,Evening,Hatfield,1,Evergreen,2025-12-19,80,60,70,Flashcard Systems Students Actually Keep Using for Group Sessions Study Revision notes exam prep revision students Podcast Calm Light
C0038,Discount Bundles Worth Checking Before the Weekend Before Prices Jump,Deals,Subscriptions,discount|shopping|cheap|student offers,Short Video,Motivated,Moderate,7,Low,Afternoon,Online,0,Recent,2026-01-31,56,81,57,Discount Bundles Worth Checking Before the Weekend Before Prices Jump Deals Subscriptions discount shopping cheap student offers Short Video Motivated Moderate
C0039,How to Build Better Lecture Notes Without Overwriting Everything for Group Sessions,Study,Group Study,focus|deep work|notes|students,Article,Focused,Light,11,High,Morning,Online,0,Evergreen,2026-01-12,56,72,51,How to Build Better Lecture Notes Without Overwriting Everything for Group Sessions Study Group Study focus deep work notes students Article Focused Light
C0040,Cheap Essentials That Still Feel Good Quality This Week,Deals,Cheap Finds,value|student offers|subscriptions|deals,Carousel,Curious,Light,3,Free,Weekend,Online,0,Evergreen,2026-02-21,36,92,86,Cheap Essentials That Still Feel Good Quality This Week Deals Cheap Finds value student offers subscriptions deals Carousel Curious Light
C0041,Useful Apps That Actually Save Students Time for Everyday Use,Tech,AI Tools,digital|tech|apps|gadgets,Video,Motivated,Light,41,Medium,Morning,Online,0,Recent,2025-11-25,79,48,82,Useful Apps That Actually Save Students Time for Everyday Use Tech AI Tools digital tech apps gadgets Video Motivated Light
C0042,Digital Tools for Staying Organised Across Everything for Everyday Use,Tech,Gadgets,ai tools|tech|tools|student tools,Short Video,Focused,Deep,5,High,Morning,Online,0,Evergreen,2025-09-23,47,16,77,Digital Tools for Staying Organised Across Everything for Everyday Use Tech Gadgets ai tools tech tools student tools Short Video Focused Deep
C0043,A Simple Weekly Reset Routine for Students Without Overplanning,Productivity,Habits,workflow|habits|planning|time blocking,Short Video,Calm,Deep,1,Free,Late Night,Hatfield,1,Evergreen,2026-01-20,64,76,65,A Simple Weekly Reset Routine for Students Without Overplanning Productivity Habits workflow habits planning time blocking Short Video Calm Deep
C0044,Five Focus Rituals for Low-Energy Days When Motivation Drops,Productivity,Workflows,planning|productivity|habits|workflow,Podcast,Focused,Deep,26,Free,Afternoon,Hatfield,1,Recent,2025-12-16,92,58,87,Five Focus Rituals for Low-Energy Days When Motivation Drops Productivity Workflows planning productivity habits workflow Podcast Focused Deep
C0045,Flashcard Systems Students Actually Keep Using on a Tight Timetable,Study,Time Management,revision|students|flashcards|deep work,Checklist,Motivated,Moderate,9,Low,Afternoon,Online,0,New,2025-12-10,61,55,78,Flashcard Systems Students Actually Keep Using on a Tight Timetable Study Time Management revision students flashcards deep work Checklist Motivated Moderate
C0046,How to Recover After an Overloaded Week for Better Balance,Wellness,Stress Relief,routine|wellness|mental health|sleep,Podcast,Motivated,Moderate,22,Low,Weekend,Online,0,Evergreen,2025-10-03,68,21,55,How to Recover After an Overloaded Week for Better Balance Wellness Stress Relief routine wellness mental health sleep Podcast Motivated Moderate
C0047,A Simple Weekly Reset Routine for Students for Students,Productivity,Routines,discipline|habits|productivity|focus,Checklist,Focused,Moderate,4,Low,Weekend,Online,0,Recent,2026-03-01,60,96,70,A Simple Weekly Reset Routine for Students for Students Productivity Routines discipline habits productivity focus Checklist Focused Moderate
C0048,Digital Tools for Staying Organised Across Everything for Better Focus,Tech,Apps,student tools|ai tools|apps|tools,Short Video,Motivated,Light,4,Free,Late Night,Hatfield,1,Evergreen,2026-03-05,46,98,74,Digital Tools for Staying Organised Across Everything for Better Focus Tech Apps student tools ai tools apps tools Short Video Motivated Light
C0049,Easy Listening Picks for a Weekend Reset That Feel Fresh,Music,Study Playlists,lofi|music|playlist|indie,Playlist,Calm,Light,13,High,Evening,Online,0,New,2026-01-05,97,68,85,Easy Listening Picks for a Weekend Reset That Feel Fresh Music Study Playlists lofi music playlist indie Playlist Calm Light
C0050,Simple Tech Upgrades for Productivity and Focus This Semester,Tech,Student Tools,ai tools|apps|digital|gadgets,Short Video,Curious,Light,4,Low,Afternoon,London,1,Evergreen,2025-10-12,54,26,84,Simple Tech Upgrades for Productivity and Focus This Semester Tech Student Tools ai tools apps digital gadgets Short Video Curious Light
C0051,A Smarter Student Money Routine for the Month That Scale Well,Finance,Savings,cheap|finance|discounts|budget,Article,Curious,Moderate,12,Free,Morning,Online,0,New,2026-02-03,90,83,88,A Smarter Student Money Routine for the Month That Scale Well Finance Savings cheap finance discounts budget Article Curious Moderate
C0052,Campus Events Worth Leaving Your Room For for Social Weekends,Events,Social Activities,weekend|campus|workshops|local,Carousel,Curious,Moderate,3,High,Afternoon,London,1,New,2026-01-02,66,67,70,Campus Events Worth Leaving Your Room For for Social Weekends Events Social Activities weekend campus workshops local Carousel Curious Moderate
C0053,Apps That Make Student Life Less Chaotic for Everyday Use,Tech,AI Tools,gadgets|student tools|tech|ai tools,Short Video,Focused,Light,4,Medium,Morning,Remote,0,Recent,2025-12-10,77,55,82,Apps That Make Student Life Less Chaotic for Everyday Use Tech AI Tools gadgets student tools tech ai tools Short Video Focused Light
C0054,How to Recover After an Overloaded Week for Students,Wellness,Balance,stress|mindfulness|balance|sleep,Short Video,Relaxed,Moderate,5,Low,Evening,Online,0,Evergreen,2026-01-24,81,78,84,How to Recover After an Overloaded Week for Students Wellness Balance stress mindfulness balance sleep Short Video Relaxed Moderate
C0055,Quick Comfort Meals for Cold Evenings This Week,Food,Budget Meals,student food|budget meals|food|meal prep,Carousel,Curious,Light,6,Medium,Evening,St Albans,1,Recent,2025-10-18,83,29,72,Quick Comfort Meals for Cold Evenings This Week Food Budget Meals student food budget meals food meal prep Carousel Curious Light
C0056,Budgeting on a Student Schedule for Tight Budgets,Finance,Savings,cheap|student money|discounts|savings,Carousel,Focused,Light,1,Low,Weekend,Online,0,Evergreen,2025-10-30,88,35,80,Budgeting on a Student Schedule for Tight Budgets Finance Savings cheap student money discounts savings Carousel Focused Light
C0057,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Note Taking,focus|deep work|students|flashcards,Article,Motivated,Moderate,5,Medium,Afternoon,Online,0,Recent,2025-11-21,99,46,70,A Practical Guide to Last-Minute Exam Preparation Before Exam Season Study Note Taking focus deep work students flashcards Article Motivated Moderate
C0058,Internship Search Habits That Compound Over Time for Graduate Roles,Career,Networking,linkedin|career|interview|jobs,Guide,Motivated,Light,29,Low,Weekend,Online,0,Recent,2026-02-12,96,87,80,Internship Search Habits That Compound Over Time for Graduate Roles Career Networking linkedin career interview jobs Guide Motivated Light
C0059,Student Deals Worth Using This Month Right Now,Deals,Bundles,cheap|discount|student offers|deals,Carousel,Motivated,Moderate,8,Medium,Late Night,Online,0,New,2025-11-28,53,49,72,Student Deals Worth Using This Month Right Now Deals Bundles cheap discount student offers deals Carousel Motivated Moderate
C0060,How to Build Better Lecture Notes Without Overwriting Everything for Busy Weeks,Study,Note Taking,exam prep|focus|revision|students,Checklist,Motivated,Deep,5,Free,Afternoon,Online,0,Evergreen,2025-09-03,59,6,82,How to Build Better Lecture Notes Without Overwriting Everything for Busy Weeks Study Note Taking exam prep focus revision students Checklist Motivated Deep
C0061,Time-Blocking Without Burning Out for Hybrid Routines,Productivity,Apps,discipline|time blocking|habits|focus,Guide,Focused,Deep,27,Medium,Morning,Online,0,Evergreen,2025-09-12,74,11,71,Time-Blocking Without Burning Out for Hybrid Routines Productivity Apps discipline time blocking habits focus Guide Focused Deep
C0062,The Best Group Study Strategies for Busy Weeks for Group Sessions,Study,Note Taking,revision|notes|flashcards|exam prep,Checklist,Motivated,Light,11,Free,Late Night,Remote,0,New,2025-12-15,64,58,98,The Best Group Study Strategies for Busy Weeks for Group Sessions Study Note Taking revision notes flashcards exam prep Checklist Motivated Light
C0063,Walking Habits That Boost Energy Without a Full Workout for Small Spaces,Fitness,Beginner Fitness,stretching|workout|beginner|walking,Article,Motivated,Moderate,7,Medium,Afternoon,Online,0,New,2025-11-02,96,36,82,Walking Habits That Boost Energy Without a Full Workout for Small Spaces Fitness Beginner Fitness stretching workout beginner walking Article Motivated Moderate
C0064,Short Entertainment Picks for Study Breaks After Long Study Days,Entertainment,Movies,anime|movies|shows|fun,Short Video,Excited,Light,8,Low,Evening,Online,0,New,2025-11-20,65,45,79,Short Entertainment Picks for Study Breaks After Long Study Days Entertainment Movies anime movies shows fun Short Video Excited Light
C0065,Short Entertainment Picks for Study Breaks for Low-Effort Evenings,Entertainment,Series,entertainment|weekend watch|movies|shows,Short Video,Excited,Light,4,Free,Weekend,Online,0,Evergreen,2025-11-18,76,44,66,Short Entertainment Picks for Study Breaks for Low-Effort Evenings Entertainment Series entertainment weekend watch movies shows Short Video Excited Light
C0066,Low-Equipment Fitness Routines That Still Feel Effective Without a Gym Membership,Fitness,Gym Guides,walking|fitness|student fitness|workout,Short Video,Motivated,Moderate,1,Low,Morning,Online,0,Recent,2026-01-19,60,75,59,Low-Equipment Fitness Routines That Still Feel Effective Without a Gym Membership Fitness Gym Guides walking fitness student fitness workout Short Video Motivated Moderate
C0067,Student Snacks That Feel Better Than Instant Noodles on a Budget,Food,Meal Prep,budget meals|student food|cafes|cheap eats,Guide,Relaxed,Moderate,21,Medium,Afternoon,St Albans,1,New,2025-11-15,72,43,85,Student Snacks That Feel Better Than Instant Noodles on a Budget Food Meal Prep budget meals student food cafes cheap eats Guide Relaxed Moderate
C0068,Easy Weekend Escapes You Can Do on a Budget from Hatfield,Travel,City Guides,cheap trips|city guide|student travel|hidden gems,Article,Excited,Light,7,Free,Afternoon,Hatfield,1,Evergreen,2025-11-08,56,39,95,Easy Weekend Escapes You Can Do on a Budget from Hatfield Travel City Guides cheap trips city guide student travel hidden gems Article Excited Light
C0069,7 Revision Habits That Actually Stick for Group Sessions,Study,Revision,notes|deep work|focus|exam prep,Podcast,Calm,Moderate,33,Low,Evening,Online,0,Evergreen,2025-10-23,42,31,61,7 Revision Habits That Actually Stick for Group Sessions Study Revision notes deep work focus exam prep Podcast Calm Moderate
C0070,Stretching Routines for Long Study Days for Small Spaces,Fitness,Beginner Fitness,gym|student fitness|fitness|stretching,Guide,Focused,Deep,33,Free,Afternoon,Online,0,Recent,2025-09-18,69,14,89,Stretching Routines for Long Study Days for Small Spaces Fitness Beginner Fitness gym student fitness fitness stretching Guide Focused Deep
C0071,How to Follow Up After an Interview Without Sounding Generic Without Sounding Robotic,Career,Networking,cv|career|linkedin|internships,Podcast,Motivated,Moderate,12,Free,Weekend,Online,0,New,2025-12-31,95,66,72,How to Follow Up After an Interview Without Sounding Generic Without Sounding Robotic Career Networking cv career linkedin internships Podcast Motivated Moderate
C0072,A Practical Guide to Last-Minute Exam Preparation for Group Sessions,Study,Exam Prep,exam prep|revision|flashcards|focus,Short Video,Motivated,Moderate,3,Free,Late Night,Hatfield,1,Evergreen,2025-11-25,84,48,77,A Practical Guide to Last-Minute Exam Preparation for Group Sessions Study Exam Prep exam prep revision flashcards focus Short Video Motivated Moderate
C0073,Campus Events Worth Leaving Your Room For for Social Weekends,Events,Markets,weekend|local|social|workshops,Short Video,Excited,Deep,5,Medium,Late Night,Online,0,Evergreen,2026-01-31,61,81,87,Campus Events Worth Leaving Your Room For for Social Weekends Events Markets weekend local social workshops Short Video Excited Deep
C0074,Time-Blocking Without Burning Out for Hybrid Routines,Productivity,Routines,time blocking|discipline|planning|focus,Podcast,Focused,Moderate,25,Medium,Morning,Online,0,New,2025-10-23,76,31,60,Time-Blocking Without Burning Out for Hybrid Routines Productivity Routines time blocking discipline planning focus Podcast Focused Moderate
C0075,A Realistic LinkedIn Routine for Students Without Sounding Robotic,Career,Networking,networking|career|interview|linkedin,Checklist,Motivated,Light,9,High,Weekend,Online,0,Recent,2025-09-11,91,10,93,A Realistic LinkedIn Routine for Students Without Sounding Robotic Career Networking networking career interview linkedin Checklist Motivated Light
C0076,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Markets,things to do|weekend|events|social,Guide,Social,Moderate,13,Medium,Weekend,St Albans,1,Evergreen,2025-10-09,53,24,82,Interesting Workshops and Meetups to Check Out for Social Weekends Events Markets things to do weekend events social Guide Social Moderate
C0077,Student Deals Worth Using This Month for Student Budgets,Deals,Essentials,subscriptions|value|discount|cheap,Short Video,Motivated,Light,1,Medium,Evening,Online,0,Recent,2026-01-04,73,68,80,Student Deals Worth Using This Month for Student Budgets Deals Essentials subscriptions value discount cheap Short Video Motivated Light
C0078,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Note Taking,flashcards|revision|students|notes,Guide,Calm,Moderate,31,High,Afternoon,Remote,0,Evergreen,2025-10-07,55,23,70,A Practical Guide to Last-Minute Exam Preparation Before Exam Season Study Note Taking flashcards revision students notes Guide Calm Moderate
C0079,How to Plan a Cheap One-Day Reset Trip Near London,Travel,Weekend Trips,cheap trips|weekend|travel|hidden gems,Video,Curious,Light,37,Free,Afternoon,London,1,Evergreen,2025-11-19,64,45,90,How to Plan a Cheap One-Day Reset Trip Near London Travel Weekend Trips cheap trips weekend travel hidden gems Video Curious Light
C0080,How to Recover After an Overloaded Week for Students,Wellness,Sleep,routine|mental health|mindfulness|balance,Guide,Calm,Light,16,Low,Afternoon,Remote,0,Recent,2026-01-18,74,75,73,How to Recover After an Overloaded Week for Students Wellness Sleep routine mental health mindfulness balance Guide Calm Light
C0081,Meal Prep Ideas That Survive a Busy Timetable for Rainy Evenings,Food,Quick Recipes,food|budget meals|cafes|student food,Guide,Energetic,Moderate,21,Low,Morning,Hatfield,1,Recent,2026-01-22,78,77,46,Meal Prep Ideas That Survive a Busy Timetable for Rainy Evenings Food Quick Recipes food budget meals cafes student food Guide Energetic Moderate
C0082,Discount Bundles Worth Checking Before the Weekend for Student Budgets,Deals,Bundles,deals|discount|subscriptions|cheap,Article,Relaxed,Deep,6,Medium,Afternoon,Online,0,Evergreen,2025-12-10,85,55,58,Discount Bundles Worth Checking Before the Weekend for Student Budgets Deals Bundles deals discount subscriptions cheap Article Relaxed Deep
C0083,Affordable City Plans for a Spontaneous Saturday from Hatfield,Travel,Weekend Trips,hidden gems|city guide|explore|travel,Guide,Curious,Deep,20,Low,Morning,Online,0,Evergreen,2025-09-16,58,13,65,Affordable City Plans for a Spontaneous Saturday from Hatfield Travel Weekend Trips hidden gems city guide explore travel Guide Curious Deep
C0084,Short Entertainment Picks for Study Breaks After Long Study Days,Entertainment,Weekend Picks,fun|entertainment|movies|shows,Short Video,Curious,Moderate,4,Free,Morning,Remote,0,Evergreen,2026-03-04,41,97,90,Short Entertainment Picks for Study Breaks After Long Study Days Entertainment Weekend Picks fun entertainment movies shows Short Video Curious Moderate
C0085,Energetic Tracks for a Better Start to the Day for Quiet Mornings,Music,Mood Mixes,indie|playlist|music|party,Playlist,Calm,Light,26,Low,Late Night,Hatfield,1,New,2025-12-23,56,62,81,Energetic Tracks for a Better Start to the Day for Quiet Mornings Music Mood Mixes indie playlist music party Playlist Calm Light
C0086,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Revision,notes|exam prep|flashcards|deep work,Guide,Motivated,Moderate,31,Free,Afternoon,Online,0,Recent,2025-09-06,64,8,83,A Practical Guide to Last-Minute Exam Preparation Before Exam Season Study Revision notes exam prep flashcards deep work Guide Motivated Moderate
C0087,Five Focus Rituals for Low-Energy Days for Hybrid Routines,Productivity,Planning,focus|workflow|time blocking|discipline,Podcast,Motivated,Moderate,31,Low,Morning,Online,0,New,2025-12-08,66,54,63,Five Focus Rituals for Low-Energy Days for Hybrid Routines Productivity Planning focus workflow time blocking discipline Podcast Motivated Moderate
C0088,How to Plan a Cheap One-Day Reset Trip from Hatfield,Travel,Hidden Spots,weekend|travel|cheap trips|hidden gems,Guide,Relaxed,Moderate,28,High,Evening,Luton,1,Recent,2025-09-11,82,10,72,How to Plan a Cheap One-Day Reset Trip from Hatfield Travel Hidden Spots weekend travel cheap trips hidden gems Guide Relaxed Moderate
C0089,Discount Bundles Worth Checking Before the Weekend That Actually Feel Useful,Deals,Bundles,value|student offers|cheap|deals,Article,Motivated,Moderate,7,Low,Afternoon,Online,0,Recent,2026-02-15,36,89,73,Discount Bundles Worth Checking Before the Weekend That Actually Feel Useful Deals Bundles value student offers cheap deals Article Motivated Moderate
