interaction_id,user_id,content_id,viewed,liked,saved,shared,completed,dwell_time_percent,rating,engaged_minutes,interaction_timestamp,engagement_score,interaction_day_type,recommendation_surface,rating_filled,engagement_bucket
I000066,U0040,C0660,0,0,0,0,0,74,,25.9,2025-11-11 19:51:00,1.48,Weekday,Search,0.0,Low
I000067,U0017,C0127,1,0,1,0,1,74,,6.7,2025-10-24 01:27:00,8.98,Weekday,For You,0.0,High
I000068,U0216,C0716,1,0,0,1,1,72,3.0,26.6,2025-12-13 18:17:00,10.34,Weekend,Trending,3.0,Very High
I000069,U0316,C0603,1,1,1,0,0,54,4.0,14.6,2025-12-06 12:07:00,10.78,Weekend,For You,4.0,Very High
I000070,U0127,C0370,1,0,0,0,0,52,,1.0,2026-02-04 20:22:00,2.04,Weekday,For You,0.0,Low
I000071,U0081,C0566,1,0,0,0,0,6,3.0,1.2,2026-01-19 14:00:00,3.52,Weekday,Search,3.0,Medium
I000072,U0381,C0371,1,0,0,0,0,53,,3.2,2026-02-22 07:56:00,2.06,Weekend,For You,0.0,Low
I000073,U0247,C0761,1,1,1,0,1,74,5.0,4.4,2025-12-06 18:23:00,15.48,Weekend,Because You Liked,5.0,Very High
I000074,U0150,C0189,1,1,0,0,0,46,,1.8,2025-11-21 13:04:00,4.42,Weekday,Home Feed,0.0,Medium
I000075,U0353,C0862,1,1,0,0,1,59,4.0,4.1,2026-02-26 16:51:00,11.38,Weekday,For You,4.0,Very High
I000076,U0027,C0400,1,1,1,1,1,43,4.0,2.6,2026-01-02 16:26:00,16.06,Weekday,Home Feed,4.0,Very High
I000077,U0054,C0611,1,1,0,1,1,74,5.0,7.4,2026-01-13 10:27:00,14.48,Weekday,Trending,5.0,Very High
I000078,U0170,C0059,1,0,0,0,0,38,,3.0,2025-10-21 13:59:00,1.76,Weekday,Category Page,0.0,Low
I000079,U0037,C0344,1,1,1,1,1,77,4.0,15.4,2026-01-07 11:55:00,16.74,Weekday,Trending,4.0,Very High
I000080,U0332,C0861,1,0,0,0,0,79,3.0,6.3,2025-10-10 12:25:00,4.98,Weekday,For You,3.0,Medium
I000081,U0019,C0345,1,0,1,1,0,83,,5.8,2025-11-03 09:54:00,7.66,Weekday,Because You Liked,0.0,High
I000082,U0073,C0211,1,0,1,0,1,88,,9.7,2025-09-13 14:24:00,9.26,Weekend,Home Feed,0.0,Very High
I000083,U0015,C0072,1,1,0,0,0,58,4.0,1.7,2026-02-12 13:23:00,7.86,Weekday,Home Feed,4.0,High
I000084,U0194,C0049,1,1,0,0,0,42,,5.5,2025-11-12 07:08:00,4.34,Weekday,Home Feed,0.0,Medium
I000085,U0096,C0441,1,1,1,0,1,44,4.0,8.8,2025-11-08 23:47:00,14.08,Weekend,Home Feed,4.0,Very High
I000086,U0415,C0288,1,1,0,0,0,61,4.0,3.0,2026-02-17 00:11:00,7.92,Weekday,For You,4.0,High
I000087,U0426,C0223,1,1,1,0,1,50,4.0,1.0,2025-09-17 20:31:00,14.2,Weekday,Because You Liked,4.0,Very High
I000088,U0200,C0502,1,0,0,0,0,65,,6.5,2025-11-08 01:50:00,2.3,Weekend,Search,0.0,Low
I000089,U0113,C0240,1,1,0,0,0,71,,1.0,2025-11-21 17:14:00,4.92,Weekday,Trending,0.0,Medium
I000090,U0288,C0599,1,0,0,0,1,76,4.0,11.4,2025-11-14 06:56:00,9.22,Weekday,Search,4.0,Very High
I000091,U0387,C0825,0,0,0,0,0,33,,7.3,2025-10-09 20:06:00,0.66,Weekday,Trending,0.0,Low
I000092,U0042,C0895,1,1,1,0,0,32,4.0,1.0,2025-10-25 17:18:00,10.34,Weekend,For You,4.0,Very High
I000093,U0169,C0296,1,1,0,0,0,84,4.0,18.5,2025-12-30 09:39:00,8.38,Weekday,For You,4.0,High
I000094,U0389,C0108,1,0,0,0,1,59,,6.5,2026-01-10 09:44:00,5.68,Weekend,For You,0.0,Medium
I000095,U0015,C0869,1,1,1,0,0,46,,11.5,2025-09-25 14:34:00,7.42,Weekday,For You,0.0,High
I000096,U0418,C0844,1,0,0,0,1,100,5.0,1.0,2025-10-02 00:25:00,10.5,Weekday,Category Page,5.0,Very High
I000097,U0304,C0846,1,0,0,0,1,100,,13.0,2026-02-10 13:24:00,6.5,Weekday,Category Page,0.0,High
I000098,U0152,C0357,0,0,0,0,0,52,,3.1,2025-10-19 08:29:00,1.04,Weekend,Home Feed,0.0,Low
I000099,U0300,C0603,1,1,1,0,1,72,,19.4,2025-09-21 17:07:00,11.44,Weekend,Home Feed,0.0,Very High
I000100,U0212,C0703,1,0,0,0,0,11,,1.0,2026-01-19 19:13:00,1.22,Weekday,Trending,0.0,Low
I000101,U0308,C0395,1,1,0,1,1,100,,5.0,2026-01-24 10:46:00,11.0,Weekend,For You,0.0,Very High
I000102,U0390,C0228,1,0,0,0,0,13,,2.6,2026-02-16 06:43:00,1.26,Weekday,Trending,0.0,Low
I000103,U0407,C0719,1,0,1,1,1,83,3.0,17.4,2026-02-01 13:02:00,13.56,Weekend,Home Feed,3.0,Very High
I000104,U0129,C0094,1,1,0,0,0,39,,4.7,2025-09-07 22:54:00,4.28,Weekend,Trending,0.0,Medium
I000105,U0083,C0040,1,0,0,0,0,19,,1.0,2026-01-18 12:47:00,1.38,Weekend,Search,0.0,Low
I000106,U0449,C0369,1,1,0,0,0,29,,7.5,2025-11-24 00:35:00,4.08,Weekday,Trending,0.0,Medium
I000107,U0080,C0015,1,1,1,0,0,32,3.0,1.9,2026-01-30 08:13:00,9.54,Weekday,Search,3.0,Very High
I000108,U0196,C0659,1,0,1,0,1,89,3.0,31.2,2026-02-28 22:37:00,11.68,Weekend,Because You Liked,3.0,Very High
I000109,U0434,C0152,1,0,0,0,0,38,,2.7,2026-02-15 12:18:00,1.76,Weekend,Home Feed,0.0,Low
I000110,U0068,C0471,1,0,1,0,0,71,,4.3,2026-02-03 19:27:00,5.42,Weekday,For You,0.0,Medium
I000111,U0262,C0358,1,1,1,0,0,48,4.0,3.8,2026-02-11 21:19:00,10.66,Weekday,For You,4.0,Very High
I000112,U0057,C0137,1,0,1,0,1,71,5.0,23.4,2025-09-13 18:45:00,12.92,Weekend,Home Feed,5.0,Very High
I000113,U0172,C0464,1,1,0,0,1,90,4.0,23.4,2025-11-28 00:10:00,12.0,Weekday,Search,4.0,Very High
I000114,U0090,C0603,1,0,1,0,1,86,,23.2,2025-09-17 11:37:00,9.22,Weekday,For You,0.0,Very High
I000115,U0361,C0670,0,0,0,0,0,31,,8.7,2025-12-01 01:24:00,0.62,Weekday,For You,0.0,Low
I000116,U0260,C0092,1,1,0,0,0,59,,2.4,2026-02-17 11:13:00,4.68,Weekday,For You,0.0,Medium
I000117,U0399,C0138,1,0,0,0,1,71,,9.2,2025-12-13 00:01:00,5.92,Weekend,Trending,0.0,Medium
I000118,U0448,C0101,1,0,0,1,0,49,3.0,1.0,2025-12-06 11:55:00,6.38,Weekend,Home Feed,3.0,High
I000119,U0021,C0632,1,0,0,1,0,34,,7.1,2025-12-14 22:38:00,3.68,Weekend,Home Feed,0.0,Medium
I000120,U0140,C0363,1,0,1,0,1,68,,6.8,2025-10-02 20:55:00,8.86,Weekday,Category Page,0.0,High
I000121,U0083,C0834,1,1,1,1,1,96,4.0,6.7,2025-10-10 16:12:00,17.12,Weekday,Trending,4.0,Very High
I000122,U0311,C0070,1,1,0,0,0,61,,20.1,2025-10-29 10:56:00,4.72,Weekday,Category Page,0.0,Medium
I000123,U0361,C0335,1,0,0,0,1,41,,4.1,2025-12-23 23:10:00,5.32,Weekday,Because You Liked,0.0,Medium
I000124,U0272,C0674,1,0,0,0,1,65,,6.5,2026-02-01 11:33:00,5.8,Weekend,Trending,0.0,Medium
I000125,U0066,C0189,1,1,0,0,0,42,,1.7,2025-11-24 13:19:00,4.34,Weekday,Home Feed,0.0,Medium
I000126,U0171,C0130,1,0,0,0,0,18,,1.4,2025-12-14 01:18:00,1.36,Weekend,Because You Liked,0.0,Low
I000127,U0322,C0295,1,1,0,0,1,62,4.0,13.0,2025-11-28 11:58:00,11.44,Weekday,For You,4.0,Very High
I000128,U0364,C0037,0,0,0,0,0,57,,17.7,2025-12-28 22:37:00,1.14,Weekend,Because You Liked,0.0,Low
I000129,U0342,C0741,1,0,1,0,1,73,2.0,13.9,2025-11-24 22:20:00,10.56,Weekday,Search,2.0,Very High
I000130,U0253,C0712,1,0,1,0,1,39,,2.0,2025-09-01 21:38:00,8.28,Weekday,Search,0.0,High
I000131,U0291,C0255,1,0,0,0,0,39,,4.3,2025-12-09 00:26:00,1.78,Weekday,For You,0.0,Low
I000132,U0120,C0543,1,1,0,0,0,48,,10.6,2025-12-17 22:19:00,4.46,Weekday,For You,0.0,Medium
I000133,U0283,C0336,1,1,1,0,0,5,4.0,1.2,2026-02-04 15:18:00,9.8,Weekday,Trending,4.0,Very High
I000134,U0236,C0538,1,1,0,0,0,50,,15.0,2025-11-01 17:09:00,4.5,Weekend,Search,0.0,Medium
I000135,U0090,C0076,1,1,1,1,1,100,4.0,13.0,2025-12-11 08:20:00,17.2,Weekday,For You,4.0,Very High
I000136,U0162,C0051,1,0,0,0,1,80,4.0,9.6,2025-12-25 18:15:00,9.3,Weekday,Search,4.0,Very High
I000137,U0110,C0605,1,1,1,0,1,45,,1.8,2025-10-06 16:24:00,10.9,Weekday,Home Feed,0.0,Very High
I000138,U0144,C0651,1,1,0,0,1,87,4.0,29.6,2026-01-03 14:10:00,11.94,Weekend,For You,4.0,Very High
I000139,U0425,C0223,1,1,0,0,1,86,5.0,1.7,2025-10-16 01:24:00,12.72,Weekday,For You,5.0,Very High
I000140,U0244,C0855,1,1,1,0,1,41,5.0,2.5,2025-10-30 22:10:00,14.82,Weekday,For You,5.0,Very High
I000141,U0155,C0003,1,1,1,0,1,58,4.0,4.1,2025-11-02 23:23:00,14.36,Weekend,For You,4.0,Very High
I000142,U0251,C0723,1,1,1,0,0,39,,1.0,2025-12-06 23:11:00,7.28,Weekend,Category Page,0.0,High
I000143,U0193,C0693,1,0,1,0,1,71,,5.0,2026-02-07 09:14:00,8.92,Weekend,Home Feed,0.0,High
I000144,U0407,C0880,1,1,0,1,0,33,,9.6,2025-12-29 16:49:00,6.16,Weekday,Home Feed,0.0,High
I000145,U0170,C0452,1,1,0,1,1,90,,9.0,2025-10-21 17:39:00,10.8,Weekday,Because You Liked,0.0,Very High
I000146,U0054,C0687,1,1,0,0,1,55,5.0,12.1,2026-02-16 11:41:00,12.1,Weekday,Category Page,5.0,Very High
I000147,U0215,C0595,1,1,0,0,1,73,,1.0,2025-09-19 22:03:00,8.46,Weekday,Home Feed,0.0,High
I000148,U0126,C0531,1,1,0,1,0,31,,1.2,2025-12-19 13:21:00,6.12,Weekday,Trending,0.0,High
I000149,U0078,C0261,1,0,1,1,0,48,,1.4,2025-11-12 00:26:00,6.96,Weekday,Home Feed,0.0,High
I000150,U0255,C0236,1,1,1,0,1,100,,6.0,2025-11-02 22:48:00,12.0,Weekend,For You,0.0,Very High
I000151,U0357,C0155,1,1,1,0,1,76,5.0,1.5,2026-02-04 09:08:00,15.52,Weekday,Search,5.0,Very High
I000152,U0387,C0330,1,0,0,0,0,26,,3.9,2025-11-27 19:58:00,1.52,Weekday,For You,0.0,Low
I000153,U0022,C0707,1,0,0,1,1,100,5.0,10.0,2025-12-20 15:55:00,12.5,Weekend,Category Page,5.0,Very High
I000154,U0113,C0378,1,1,1,0,0,71,3.0,1.4,2025-11-03 15:53:00,10.32,Weekday,For You,3.0,Very High
I000155,U0201,C0858,0,0,0,0,0,58,,12.8,2025-11-06 22:28:00,1.16,Weekday,For You,0.0,Low
I000156,U0302,C0480,1,1,0,0,1,83,5.0,4.1,2025-10-06 10:00:00,12.66,Weekday,Search,5.0,Very High
I000157,U0297,C0697,1,1,1,1,0,50,5.0,20.5,2025-12-17 09:48:00,13.5,Weekday,For You,5.0,Very High
I000158,U0214,C0708,0,0,0,0,0,65,,7.8,2026-03-09 07:44:00,1.3,Weekday,Home Feed,0.0,Low
I000159,U0226,C0373,1,1,1,0,1,66,,5.9,2026-02-16 20:57:00,11.32,Weekday,Home Feed,0.0,Very High
I000160,U0076,C0350,1,0,0,0,0,36,,2.5,2026-02-26 12:18:00,1.72,Weekday,Search,0.0,Low
I000161,U0253,C0242,1,0,0,0,0,56,3.0,3.9,2026-02-14 22:33:00,4.52,Weekend,Home Feed,3.0,Medium
I000162,U0150,C0287,1,0,0,0,0,47,,2.8,2025-11-09 14:04:00,1.94,Weekend,Because You Liked,0.0,Low
I000163,U0203,C0014,1,1,1,1,0,96,,9.6,2026-01-12 11:12:00,10.42,Weekday,Home Feed,0.0,Very High
I000164,U0035,C0753,1,0,1,0,0,69,4.0,8.3,2025-11-08 23:24:00,8.58,Weekend,Category Page,4.0,High
I000165,U0396,C0586,1,0,1,0,0,45,,1.0,2026-01-09 13:44:00,4.9,Weekday,For You,0.0,Medium
I000166,U0208,C0847,1,1,1,0,0,34,,3.7,2025-11-13 11:56:00,7.18,Weekday,Search,0.0,High
I000167,U0069,C0654,1,0,1,0,1,87,,16.5,2025-09-24 22:59:00,9.24,Weekday,Home Feed,0.0,Very High
I000168,U0026,C0896,1,1,0,0,0,50,,4.5,2026-01-14 08:34:00,4.5,Weekday,Category Page,0.0,Medium
I000169,U0111,C0094,1,0,0,0,0,64,3.0,7.7,2025-09-16 10:15:00,4.68,Weekday,Home Feed,3.0,Medium
I000170,U0208,C0050,1,0,1,0,1,82,,3.3,2025-10-26 11:19:00,9.14,Weekend,For You,0.0,Very High
I000171,U0181,C0034,1,1,0,0,1,46,4.0,1.0,2025-09-29 07:53:00,11.12,Weekday,Category Page,4.0,Very High
I000172,U0282,C0029,1,1,0,1,0,86,,5.2,2026-01-22 19:30:00,7.22,Weekday,Because You Liked,0.0,High
I000173,U0224,C0713,0,0,0,0,0,43,,5.2,2025-12-18 22:27:00,0.86,Weekday,Home Feed,0.0,Low
I000174,U0292,C0550,1,0,0,0,1,90,4.0,13.5,2025-09-11 08:20:00,9.5,Weekday,Category Page,4.0,Very High
I000175,U0171,C0420,1,1,0,0,0,45,,1.0,2025-12-22 23:34:00,4.4,Weekday,For You,0.0,Medium
I000176,U0187,C0839,1,0,0,0,1,51,,16.8,2025-10-07 18:29:00,5.52,Weekday,Search,0.0,Medium
I000177,U0359,C0079,1,1,0,0,0,44,,16.3,2025-10-24 08:52:00,4.38,Weekday,Category Page,0.0,Medium
I000178,U0104,C0380,1,0,1,0,1,31,,2.8,2026-02-13 13:16:00,8.12,Weekday,Trending,0.0,High
I000179,U0327,C0093,1,1,0,0,1,70,,5.6,2025-09-02 22:29:00,8.4,Weekday,Category Page,0.0,High
I000180,U0004,C0188,1,0,0,0,1,46,,11.0,2025-10-13 15:50:00,5.42,Weekday,For You,0.0,Medium
I000181,U0234,C0774,1,0,0,0,1,95,,31.3,2026-02-15 11:12:00,6.4,Weekend,Home Feed,0.0,High
I000182,U0309,C0056,1,1,1,0,1,88,5.0,1.0,2025-11-14 21:13:00,15.76,Weekday,Category Page,5.0,Very High
I000183,U0027,C0731,0,0,0,0,0,79,,2.4,2025-09-25 16:53:00,1.58,Weekday,Search,0.0,Low
I000184,U0365,C0124,1,0,0,0,0,33,,9.9,2025-12-12 15:49:00,1.66,Weekday,For You,0.0,Low
I000185,U0152,C0863,1,1,0,1,0,84,5.0,24.4,2025-10-12 10:08:00,11.18,Weekend,Search,5.0,Very High
I000186,U0195,C0262,1,0,0,0,0,34,,1.7,2025-11-06 13:39:00,1.68,Weekday,Because You Liked,0.0,Low
I000187,U0235,C0796,1,1,0,0,0,82,,5.7,2025-09-22 20:02:00,5.14,Weekday,Because You Liked,0.0,Medium
I000188,U0050,C0202,1,1,1,0,1,55,,6.6,2026-02-19 20:54:00,11.1,Weekday,For You,0.0,Very High
I000189,U0173,C0267,1,1,0,0,0,40,,4.8,2025-09-28 20:36:00,4.3,Weekend,For You,0.0,Medium
I000190,U0292,C0361,1,0,0,0,0,35,,1.4,2026-02-21 06:51:00,1.7,Weekend,Home Feed,0.0,Low
I000191,U0449,C0773,1,0,1,1,0,42,3.0,9.7,2026-01-16 00:16:00,9.24,Weekday,Category Page,3.0,Very High
I000192,U0304,C0738,1,1,1,0,0,62,,1.0,2026-02-16 13:01:00,7.74,Weekday,For You,0.0,High
I000193,U0341,C0653,1,1,0,0,1,69,5.0,5.5,2025-10-07 01:56:00,12.38,Weekday,Home Feed,5.0,Very High
I000194,U0334,C0373,0,0,0,0,0,39,,3.5,2025-11-21 15:54:00,0.78,Weekday,Because You Liked,0.0,Low
I000195,U0112,C0018,1,1,0,0,0,13,,4.3,2025-10-31 06:35:00,3.76,Weekday,For You,0.0,Medium
I000196,U0059,C0646,0,0,0,0,0,53,,3.7,2025-10-15 23:21:00,1.06,Weekday,Because You Liked,0.0,Low
I000197,U0143,C0897,1,0,1,0,1,46,4.0,12.9,2025-10-27 17:28:00,11.62,Weekday,For You,4.0,Very High
I000198,U0046,C0366,1,0,1,0,1,52,,1.6,2026-02-20 21:33:00,8.54,Weekday,Home Feed,0.0,High
I000199,U0437,C0130,1,0,0,0,0,70,4.0,5.6,2025-11-28 17:14:00,5.6,Weekday,Home Feed,4.0,Medium
I000200,U0425,C0091,1,0,0,0,0,36,4.0,2.5,2026-02-04 01:31:00,4.92,Weekday,Search,4.0,Medium
I000201,U0310,C0262,1,0,1,0,0,44,,2.2,2025-12-31 15:46:00,4.88,Weekday,Category Page,0.0,Medium
I000202,U0332,C0204,1,1,1,0,1,100,,9.0,2025-10-03 17:33:00,12.0,Weekday,For You,0.0,Very High
I000203,U0111,C0688,1,0,0,1,0,58,4.0,2.9,2026-02-11 09:29:00,7.36,Weekday,Search,4.0,High
I000204,U0089,C0422,1,0,0,0,0,72,,9.4,2025-12-24 21:05:00,2.44,Weekday,Search,0.0,Low
I000205,U0419,C0852,0,0,0,0,0,72,,2.9,2026-02-02 17:57:00,1.44,Weekday,Because You Liked,0.0,Low
I000206,U0312,C0888,1,0,0,1,1,82,,24.6,2026-01-01 11:09:00,8.14,Weekday,For You,0.0,High
I000207,U0309,C0390,1,0,0,0,0,8,,1.2,2025-11-21 18:59:00,1.16,Weekday,Home Feed,0.0,Low
I000208,U0364,C0562,1,0,0,0,0,17,,1.0,2025-10-19 22:04:00,1.34,Weekend,Search,0.0,Low
I000209,U0072,C0533,1,1,0,1,1,65,,17.6,2026-01-13 01:02:00,10.3,Weekday,Home Feed,0.0,Very High
I000210,U0334,C0016,1,1,1,0,1,72,,5.8,2026-01-22 15:22:00,11.44,Weekday,For You,0.0,Very High
I000211,U0026,C0032,1,0,1,0,0,19,,1.5,2025-09-04 08:41:00,4.38,Weekday,For You,0.0,Medium
I000212,U0428,C0394,1,0,1,0,0,95,5.0,3.8,2025-10-17 19:14:00,9.9,Weekday,Category Page,5.0,Very High
I000213,U0209,C0697,1,1,0,1,0,68,,27.9,2025-09-06 19:51:00,6.86,Weekend,Trending,0.0,High
I000214,U0089,C0667,1,1,0,0,0,43,,8.6,2026-03-08 20:01:00,4.36,Weekend,Because You Liked,0.0,Medium
I000215,U0168,C0752,1,0,0,0,0,46,,3.2,2026-01-05 14:03:00,1.92,Weekday,Because You Liked,0.0,Low
