content_id,title,category,format,mood,content_similarity_score,normalized_popularity_score,profile_match_score,final_score,recommendation_reason,user_id
C0719,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Guide,Curious,0.5819575557145451,0.7619195943812107,1.0,0.7105565542383026,matches favorite category; matches preferred format; fits preferred mood,U0448
C0421,Budget-Friendly Food Spots Worth Trying This Week for Shared Kitchens,Food,Carousel,Relaxed,0.609849230793854,0.6888396639399432,1.0,0.7076269929216055,matches favorite category; matches preferred format; fits preferred mood,U0448
C0103,Sleep Routines That Feel Realistic for Students Without a Huge Routine,Wellness,Guide,Motivated,0.5827000137492856,0.7968430721931651,0.8,0.6796957756103984,matches favorite category; matches preferred format,U0269
C0559,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Checklist,Focused,0.5971295429008138,0.6019711558858903,1.0,0.6789140375669203,matches favorite category; matches preferred format; fits preferred mood,U0269
C0174,A Smarter Student Money Routine for the Month for Tight Budgets,Finance,Article,Calm,0.6160923440136492,0.5078286457131368,1.0,0.6658079506357912,matches favorite category; matches preferred format; fits preferred mood,U0269
C0873,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Article,Focused,0.600427498314909,0.4828798693280321,1.0,0.650955091405208,matches favorite category; matches preferred format; fits preferred mood,U0269
C0490,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Guide,Focused,0.5482664416188193,0.46117541195658285,1.0,0.6168403958794964,matches favorite category; matches preferred format; fits preferred mood,U0269
C0474,A Practical Guide to Last-Minute Exam Preparation for Mid-Semester Pressure,Study,Article,Motivated,0.5245546576694737,0.8538702360197215,1.0,0.7019726207231409,matches favorite category; matches preferred format; fits preferred mood,U0298
C0057,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Article,Motivated,0.5940078510887431,0.6917223525963192,1.0,0.6996349062478886,matches favorite category; matches preferred format; fits preferred mood,U0298
C0568,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Short Video,Motivated,0.6221483815656539,0.7666822344971713,0.7,0.6738521684854025,matches favorite category; fits preferred mood,U0298
C0602,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Article,Motivated,0.621093163017295,0.5120782384508598,1.0,0.6696207992722272,matches favorite category; matches preferred format; fits preferred mood,U0298
C0587,Student Routine Ideas That Don’t Collapse After Two Days for Student Life,Lifestyle,Article,Motivated,0.5477005472007663,0.6728168450502829,1.0,0.6694395122229923,matches favorite category; matches preferred format; fits preferred mood,U0298
